Experiment,1
Plot title,My experiment

Number of,2
plots

Number of,2001
points

Time,N,Square root of C at cutoff distance
88.9,1.54579,1.48749
89,1.54268,1.48436
89.1,1.53958,1.48123
89.2,1.53648,1.47811
89.3,1.53339,1.475
89.4,1.53031,1.4719
89.5,1.52723,1.4688
89.6,1.52416,1.46571
89.7,1.52109,1.46263
89.8,1.51803,1.45955
89.9,1.51498,1.45648
90,1.51194,1.45342
90.1,1.5089,1.45037
90.2,1.50586,1.44732
90.3,1.50284,1.44428
90.4,1.49982,1.44124
90.5,1.49681,1.43821
90.6,1.4938,1.43519
90.7,1.4908,1.43218
90.8,1.4878,1.42917
90.9,1.48481,1.42617
91,1.48183,1.42317
91.1,1.47886,1.42019
91.2,1.47589,1.4172
91.3,1.47292,1.41423
91.4,1.46997,1.41126
91.5,1.46702,1.4083
91.6,1.46407,1.40535
91.7,1.46113,1.4024
91.8,1.4582,1.39946
91.9,1.45528,1.39652
92,1.45236,1.3936
92.1,1.44944,1.39067
92.2,1.44654,1.38776
92.3,1.44363,1.38485
92.4,1.44074,1.38195
92.5,1.43785,1.37905
92.6,1.43497,1.37616
92.7,1.43209,1.37328
92.8,1.42922,1.3704
92.9,1.42635,1.36753
93,1.42349,1.36467
93.1,1.42064,1.36181
93.2,1.41779,1.35896
93.3,1.41495,1.35612
93.4,1.41212,1.35328
93.5,1.40929,1.35045
93.6,1.40646,1.34762
93.7,1.40364,1.34481
93.8,1.40083,1.34199
93.9,1.39803,1.33919
94,1.39523,1.33639
94.1,1.39243,1.33359
94.2,1.38964,1.3308
94.3,1.38686,1.32802
94.4,1.38409,1.32525
94.5,1.38131,1.32248
94.6,1.37855,1.31972
94.7,1.37579,1.31696
94.8,1.37304,1.31421
94.9,1.37029,1.31146
95,1.36755,1.30873
95.1,1.36481,1.30599
95.2,1.36208,1.30327
95.3,1.35935,1.30055
95.4,1.35664,1.29783
95.5,1.35392,1.29512
95.6,1.35121,1.29242
95.7,1.34851,1.28973
95.8,1.34581,1.28703
95.9,1.34312,1.28435
96,1.34044,1.28167
96.1,1.33776,1.279
96.2,1.33508,1.27633
96.3,1.33241,1.27367
96.4,1.32975,1.27102
96.5,1.32709,1.26837
96.6,1.32444,1.26573
96.7,1.32179,1.26309
96.8,1.31915,1.26046
96.9,1.31652,1.25783
97,1.31389,1.25521
97.1,1.31126,1.2526
97.2,1.30864,1.24999
97.3,1.30603,1.24739
97.4,1.30342,1.24479
97.5,1.30082,1.2422
97.6,1.29822,1.23962
97.7,1.29563,1.23704
97.8,1.29304,1.23446
97.9,1.29046,1.2319
98,1.28788,1.22933
98.1,1.28531,1.22678
98.2,1.28274,1.22423
98.3,1.28018,1.22168
98.4,1.27763,1.21914
98.5,1.27508,1.21661
98.6,1.27254,1.21408
98.7,1.27,1.21156
98.8,1.26746,1.20904
98.9,1.26493,1.20653
99,1.26241,1.20402
99.1,1.25989,1.20152
99.2,1.25738,1.19902
99.3,1.25487,1.19653
99.4,1.25237,1.19405
99.5,1.24987,1.19157
